id,web_name,first_name,second_name,team,element_type,now_cost,cost_change_start,cost_change_event,status,chance_of_playing_next_round,news,news_added,form,total_points,points_per_game,minutes,starts,selected_by_percent,transfers_in_event,transfers_out_event,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goal_involvements,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,defensive_contribution,defensive_contribution_per_90,penalties_order,corners_and_indirect_freekicks_order,direct_freekicks_order,value_season,ep_this,ep_next
1,Raya,David,Raya Martín,1,1,61,1,1,a,,,,6.0,30,6.0,450,5,42.1,93394,27605,0,0,3,4,0,0,9,3,104,104.6,0.2,0.0,10.6,0.00,0.01,0.01,0.0,0.0,0.0,0.81,0,0.0,,,,4.9,6.0,6.0
2,Arrizabalaga,Kepa,Arrizabalaga Revuelta,1,1,49,-1,0,a,,,,0.0,0,0.0,0,0,0.1,69,155,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
3,Meslier,Illan,Meslier,1,1,49,-1,0,a,,,,0.0,0,0.0,0,0,0.0,33,69,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
4,Gabriel,Gabriel,dos Santos Magalhães,1,2,80,0,0,a,,,,5.0,25,5.0,450,5,22.8,14549,45279,0,0,3,4,2,0,0,2,90,94.8,22.0,84.0,20.0,0.51,0.20,0.71,0.1,0.04,0.14,0.81,41,8.2,,,,3.1,5.0,5.0
5,J.Timber,Jurriën,Timber,1,2,65,0,0,a,100,,2026-07-23T12:01:23.272929Z,0.2,1,0.5,104,1,0.4,7761,2352,0,0,0,3,0,0,0,0,-3,10.2,4.2,0.0,1.5,0.00,0.03,0.03,0.0,0.03,0.03,1.89,5,4.33,,,,0.2,0.2,0.2
6,Saliba,William,Saliba,1,2,59,-1,0,i,0,Back injury - Unknown return date,2026-07-23T12:01:23.289376Z,0.0,0,0.0,0,0,0.2,245,701,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
7,Lewis-Skelly,Myles,Lewis-Skelly,1,3,54,-1,-1,a,,,,1.5,9,2.2,271,4,0.6,556,3705,0,0,2,1,0,0,0,0,37,21.6,40.2,16.0,7.0,0.16,0.23,0.39,0.05,0.08,0.13,0.34,14,4.65,,,,1.7,1.5,1.5
8,Calafiori,Riccardo,Calafiori,1,2,58,3,0,a,,,,5.0,29,5.8,416,5,50.6,48953,41745,0,2,3,4,0,0,0,2,76,71.6,52.7,66.0,19.1,0.67,0.62,1.29,0.14,0.13,0.27,0.81,18,3.89,,,,5.0,5.0,5.0
9,Hincapie,Piero,Hincapié,1,2,52,-3,-1,a,,,,0.2,2,1.0,32,0,0.9,875,4092,0,0,0,0,0,0,0,0,6,6.4,1.0,2.0,1.0,0.00,0.00,0.00,0.0,0.0,0.0,0.79,3,8.44,,,,0.4,0.2,0.2
10,White,Benjamin,White,1,2,55,0,0,d,75,Groin injury - 75% chance of playing,2026-09-20T19:30:08.247780Z,2.5,21,5.2,315,4,5.1,3048,45292,0,1,2,1,0,0,0,3,78,69.6,53.0,29.0,15.2,0.18,0.29,0.47,0.05,0.08,0.13,0.33,18,5.14,,,,3.8,2.5,1.9
11,Mosquera,Cristhian,Mosquera,1,2,53,-2,0,a,100,,2026-09-04T14:00:08.080310Z,1.5,12,6.0,168,2,1.7,724,6279,0,0,2,0,0,0,0,0,52,24.6,2.0,0.0,2.7,0.00,0.01,0.01,0.0,0.01,0.01,0.28,10,5.36,,,,2.3,1.5,1.5
12,Saka,Bukayo,Saka,1,3,95,0,0,a,,,,5.8,32,6.4,416,5,13.4,63897,30555,3,0,3,4,0,0,0,4,137,155.6,125.6,240.0,52.1,3.22,0.98,4.20,0.7,0.21,0.91,0.77,31,6.71,1,2,2,3.4,5.8,5.8
13,Rice,Declan,Rice,1,3,74,-1,0,d,75,Unspecified injury - 75% chance of playing,2026-09-21T13:00:08.896379Z,4.2,20,4.0,411,5,12.1,6729,39404,0,2,3,4,1,0,0,0,91,120.2,108.4,5.0,23.4,0.12,0.69,0.81,0.03,0.15,0.18,0.77,42,9.2,,1,1,2.7,4.2,3.2
14,Eze,Eberechi,Eze,1,3,63,-2,0,a,,,,0.8,4,1.0,85,0,1.0,1266,4543,0,0,0,0,0,0,0,0,18,3.0,5.9,9.0,1.6,0.04,0.09,0.13,0.04,0.1,0.14,1.41,5,5.29,,,3,0.6,0.8,0.8
15,Ødegaard,Martin,Ødegaard,1,3,68,3,0,a,,,,4.5,29,5.8,377,5,19.8,49720,62180,2,0,3,4,0,0,0,6,137,121.8,166.9,73.0,36.2,1.08,1.32,2.40,0.26,0.32,0.58,0.77,23,5.49,3,,4,4.3,4.5,4.5
16,Madueke,Noni,Madueke,1,3,62,-3,0,a,,,,0.2,2,1.0,23,0,0.2,477,1078,0,0,0,0,0,0,0,0,11,11.6,43.9,0.0,5.6,0.00,0.05,0.05,0.0,0.2,0.2,0.59,3,11.74,,5,,0.3,0.2,0.2
17,Merino,Mikel,Merino Zazón,1,3,58,-2,0,a,,,,0.8,4,0.8,81,0,0.4,423,2005,0,0,0,0,1,0,0,0,19,10.0,4.2,16.0,3.0,0.14,0.15,0.29,0.16,0.17,0.33,1.07,10,11.11,,,,0.7,0.8,0.8
18,Martinelli,Gabriel,Martinelli Silva,1,3,63,-2,0,u,0,Has joined Al Hilal permanently,2026-09-04T12:34:46.738449Z,0.0,0,0.0,0,0,0.1,0,356,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
19,Zubimendi,Martín,Zubimendi Ibáñez,1,3,53,-2,0,a,,,,1.0,5,1.0,89,0,0.6,306,2535,0,0,0,0,0,0,0,0,16,13.4,5.0,29.0,4.8,0.21,0.04,0.25,0.21,0.04,0.25,1.4,12,12.13,,,,0.9,1.0,1.0
20,Dowman,Max,Dowman,1,3,53,-2,0,a,,,,0.2,1,1.0,9,0,0.1,298,378,0,0,0,0,0,0,0,0,4,2.0,14.8,0.0,1.7,0.00,0.08,0.08,0.0,0.8,0.8,3.1,0,0.0,,,,0.2,0.2,0.2
22,Nwaneri,Ethan,Nwaneri,1,3,54,-1,0,u,0,Has joined Borussia Dortmund on loan for the rest of the season,2026-09-02T16:01:07.058827Z,0.0,0,0.0,0,0,0.0,0,32,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
23,Fábio Vieira,Fábio,Ferreira Vieira,1,3,55,0,0,u,0,Has joined Hamburger SV permanently,2026-09-02T16:00:28.446370Z,0.0,0,0.0,0,0,0.0,0,27,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
24,Nelson,Reiss,Nelson,1,3,55,0,0,u,0,has departed the club as a free agent.,2026-08-29T00:33:08.556767Z,0.0,0,0.0,0,0,0.0,0,11,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0,0,0,0,0,0,,,,0.0,0.0,0.0
25,Gyökeres,Viktor,Gyökeres,1,4,71,-4,-1,a,,,,0.5,2,1.0,29,0,3.1,3613,11094,0,0,0,0,0,0,0,0,7,0.0,14.7,0.0,1.4,0.00,0.23,0.23,0.0,0.71,0.71,2.02,1,3.1,2,,,0.3,0.5,0.5
